АВС/ DEF;От;До;Емкость;Оператор;Регион
813;6258500;6258699;200;Российские железные дороги;Кировский |Ленинградская область
813;6258700;6278099;19400;Ростелеком;Кировский |Ленинградская область
813;6278100;6278699;600;Администрация Волго-Балтийского бассейна внутренних водных путей;Шлиссельбург |Ленинградская область
813;6278700;6289999;11300;Ростелеком;Кировский |Ленинградская область
813;6290000;6290099;100;МегаФон;Кировск |Ленинградская область
813;6290100;6290199;100;ОтрадноеНет;Кировский |Ленинградская область
813;6290200;6290549;350;ЛЭИВО;Кировск |Ленинградская область
813;6290600;6290699;100;Северен-Телеком;Кировск |Ленинградская область
813;6291000;6291999;1000;Вымпел-Коммуникации;Кировск |Ленинградская область
813;6292000;6292999;1000;ВЕСТ КОЛЛ ЛТД;Кировск |Ленинградская область
813;6294500;6294699;200;МегаФон;Кировск |Ленинградская область
813;6294700;6294999;300;ОтрадноеНет;Кировский |Ленинградская область
813;6298753;6299999;1247;Линк;Кировск |Ленинградская область
813;6300000;6319999;20000;Ростелеком;Волховский |Ленинградская область
813;6321000;6328399;7400;Ростелеком;Волхов |Ленинградская область
813;6328400;6328499;100;Н-Регион;Волхов |Ленинградская область
813;6328700;6328999;300;Ростелеком;Волхов |Ленинградская область
813;6329100;6329599;500;Ростелеком;Волховский |Ленинградская область
813;6330000;6332999;3000;Ростелеком;Волховский |Ленинградская область
813;6333000;6333099;100;Ростелеком;Волхов |Ленинградская область
813;6333100;6333299;200;Ростелеком;Волховский |Ленинградская область
813;6333300;6333399;100;Администрация Волго-Балтийского бассейна внутренних водных путей;Новая Ладога |Волховский |Ленинградская область
813;6333400;6333499;100;Ростелеком;Волховский |Ленинградская область
813;6333500;6333599;100;Администрация Волго-Балтийского бассейна внутренних водных путей;Новая Ладога |Волховский |Ленинградская область
813;6333600;6339999;6400;Ростелеком;Волховский |Ленинградская область
813;6341100;6341999;900;Ростелеком;Волховский |Ленинградская область
813;6342050;6342099;50;Ростелеком;Волховский |Ленинградская область
